"locus"	"pdbid"	"qstart2"	"qend2"	"sstart2"	"send2"	"strain_type"	"p_value"
"YKL019W"	"3_315_4yde.1.A_5b3aee7a9ffd129a7fdf6bf1"	"NA"	"NA"	3	315	"glycerol_high"	"0.2648"
"YER183C"	"2_203_3hy3.1.A_5b3eedc8a03a1bc4dd75c1a7"	"NA"	"NA"	2	203	"glycerol_high"	"0.4552"
"YPL040C"	"58_270_3ziu.1.A_5a571e497aaa0db405be57ee"	"NA"	"NA"	58	270	"glycerol_high"	"0.7881"
"YAR035W"	"3_642_2fy2.1.A_5b419b6d1a200b3eae99c112"	"NA"	"NA"	3	642	"glycerol_high"	"0.5143"
"YAR035W"	"1_648_2h4t.1.A_5b419b6d1a200b3eae99c116"	"NA"	"NA"	1	648	"glycerol_high"	"0.9272"
"YDL052C"	"5_247_5kym.1.A_5b3b3f4f8fd6f96720bd37fd"	"NA"	"NA"	5	247	"glycerol_high"	"0.8917"
"YNL241C"	"7_498_5vg5.4.A_5b3d65309ffd1254ac760be5"	"NA"	"NA"	7	498	"glycerol_high"	"0.4659"
"YIL083C"	"55_355_1p9o.1.B_5b3a7249732c1e42595ac1be"	"NA"	"NA"	55	355	"glycerol_high"	"0.2098"
"YNR058W"	"15_473_5uc7.1.A_5b3d158d1a200b9c78a47dcb"	"NA"	"NA"	15	473	"glycerol_high"	"0.1091"
"YPR184W"	"2_1534_5d06.1.A_5b2453487f4bf94bf75ead43"	"NA"	"NA"	2	1534	"glycerol_high"	"0.6427"
"YDR248C"	"10_187_3t61.1.A_5b3fff0a9ffd129fd53f634e"	"NA"	"NA"	10	187	"glycerol_high"	"NA"
"YOR278W"	"7_273_1jr2.2.A_5b3ca3f8d60c596a32d998b0"	"NA"	"NA"	7	273	"glycerol_high"	"0.9943"
"YMR207C"	"643_1539_5csa.1.A_5b062358c730d42b1bca7deb"	"NA"	"NA"	643	1539	"glycerol_high"	"0.0492"
"YMR207C"	"859_1538_5i6e.1.A_5b062358c730d42b1bca7de7"	"NA"	"NA"	859	1538	"glycerol_high"	"0.0481"
"YML075C"	"597_1015_3cd0.1.A_5b4741fd08cc8fcf059d560a"	"NA"	"NA"	597	1015	"glycerol_high"	"NA"
"YML042W"	"69_669_1t7n.1.A_5b413f959ffd12be9102ef5c"	"NA"	"NA"	69	669	"glycerol_high"	"0.3625"
"YBL015W"	"8_520_4eu8.1.A_5b3dbf78d60c59fb013e581b"	"NA"	"NA"	8	520	"glycerol_high"	"0.9936"
"YBR205W"	"84_395_1s4p.1.A_5b3af8453b85d1d9abc2d513"	"NA"	"NA"	84	395	"glycerol_high"	"0.9966"
"YEL066W"	"12_161_1qsm.1.A_5b4219518fd6f9c31b5e45fc"	"NA"	"NA"	12	161	"glycerol_high"	"0.281"
"YDL244W"	"4_338_4h6d.1.A_5b3a8837732c1ea7c8afb628"	"NA"	"NA"	4	338	"glycerol_high"	"NA"
"YDR035W"	"17_369_1hfb.1.A_5b3a851d732c1ef91eb1a6b5"	"NA"	"NA"	17	369	"glycerol_high"	"0.8253"
"YLR028C"	"6_460_4a1o.1.B_5b3f86cd9ffd120b60a35429"	"NA"	"NA"	6	460	"glycerol_high"	"0.1952"
"YLR028C"	"4_591_1g8m.1.A_5b3f86cd9ffd120b60a35425"	"NA"	"NA"	4	591	"glycerol_high"	"0.1876"
"YOR142W"	"24_329_4xx0.1.A_5b3ab424732c1e2273497f81"	"NA"	"NA"	24	329	"glycerol_high"	"0.1313"
"YPL273W"	"4_320_5dmm.1.A_5b3ac75c9ffd12985a3567c8"	"NA"	"NA"	4	320	"glycerol_high"	"0.3134"
"YLR382C"	"20_893_5on2.1.A_5b455b318fd6f97707584f4d"	"NA"	"NA"	20	893	"glycerol_high"	"0.1387"
"YMR251W"	"11_365_5lkb.1.A_5b3a77423b85d10c38e872ce"	"NA"	"NA"	11	365	"glycerol_high"	"0.7394"
"YKL141W"	"59_197_4ysz.1.C_5b3fb14c1a200b46b23c605e"	"NA"	"NA"	59	197	"glycerol_high"	"0.6789"
"YKL148C"	"45_640_4ytp.1.A_5b409d609ffd12c081b2ca84"	"NA"	"NA"	45	640	"glycerol_high"	"0.4305"
"YGR208W"	"4_307_5it4.1.A_5b3b1a7b1a200b641c44bc98"	"NA"	"NA"	4	307	"glycerol_high"	"0.0812"
"YDR135C"	"205_1512_6bhu.1.A_5b24712aafa3584c0960762c"	"NA"	"NA"	205	1512	"glycerol_high"	"0.3218"
"YPR001W"	"25_476_5uqr.1.A_5b3d29819ffd12398732b25a"	"NA"	"NA"	25	476	"glycerol_high"	"0.3991"
"YPR069C"	"9_293_2o06.1.A_5b3b775f1a200be196d4e64f"	"NA"	"NA"	9	293	"glycerol_high"	"NA"
"YGR256W"	"7_479_2p4q.1.A_5b3d3b199ffd12b587b02ed1"	"NA"	"NA"	7	479	"glycerol_high"	"0.199"
"YHR106W"	"25_341_3itj.1.A_5b3a806b1a200bd4e51f635d"	"NA"	"NA"	25	341	"glycerol_high"	"0.7289"
"YHR106W"	"27_341_4a5l.1.A_5b3a806b1a200bd4e51f6359"	"NA"	"NA"	27	341	"glycerol_high"	"0.7605"
"YDL090C"	"41_426_4l9p.1.B_5b3b5ee7a03a1b03249709d0"	"NA"	"NA"	41	426	"glycerol_high"	"0.4002"
"YGL184C"	"6_409_5tsu.1.C_5b3cd7f18fd6f959ee16334b"	"NA"	"NA"	6	409	"glycerol_high"	"0.304"
"YOL059W"	"81_434_4fgw.1.A_5b3b8a239ffd125cac29d239"	"NA"	"NA"	81	434	"glycerol_high"	"0.9156"
"YOR335C"	"33_485_5knn.1.A_5b468c94732c1e67566b2b8b"	"NA"	"NA"	33	485	"glycerol_high"	"0.3068"
"YGR171C"	"12_563_5nfh.2.A_5b3f1928a03a1bf6f8cc5e76"	"NA"	"NA"	12	563	"glycerol_high"	"0.0978"
"YGR171C"	"13_533_4mw5.1.A_5b3f1928a03a1bf6f8cc5e72"	"NA"	"NA"	13	533	"glycerol_high"	"0.1338"
"YMR009W"	"1_176_5i8s.1.A_5b40d8fe1a200be66266b813"	"NA"	"NA"	1	176	"glycerol_high"	"0.9877"
"YHR091C"	"70_643_1bs2.1.A_5b40aec11a200b1b80523558"	"NA"	"NA"	70	643	"glycerol_high"	"0.8802"
"YPL097W"	"56_492_2jan.1.A_5b3d3be7732c1ed6b24dc24c"	"NA"	"NA"	56	492	"glycerol_high"	"0.1611"
"YNL073W"	"35_573_6chd.1.A_5b3f25233b85d109065dcc41"	"NA"	"NA"	35	573	"glycerol_high"	"5e-04"
"YLR017W"	"30_334_4glj.1.A_5b3a94a33b85d11730f40a66"	"NA"	"NA"	30	334	"glycerol_high"	"0.0988"
"YJR156C"	"4_338_4h6d.1.A_5b3a886c3b85d187d30d4223"	"NA"	"NA"	4	338	"glycerol_high"	"NA"
"YMR202W"	"3_217_5hk1.1.C_5b3e44ad8fd6f97e602c61a8"	"NA"	"NA"	3	217	"glycerol_high"	"0.6108"
"YOR190W"	"42_444_1h4p.1.A_5b3b98ba9ffd12309a9bda65"	"NA"	"NA"	42	444	"glycerol_high"	"0.9973"
"YDL080C"	"13_577_2w93.1.B_5b3ff54b9ffd1209bb2c9629"	"NA"	"NA"	13	577	"glycerol_high"	"0.4335"
"YDR023W"	"1_449_3qne.1.A_5b3caa058fd6f96e222b252a"	"NA"	"NA"	1	449	"glycerol_high"	"0.1705"
"YJL155C"	"12_443_1bif.1.A_5b3bb3791a200b0433e7bade"	"NA"	"NA"	12	443	"glycerol_high"	"0.259"
"YMR113W"	"3_423_1o5z.1.A_5b3b4dd4d60c59c393d4bb38"	"NA"	"NA"	3	423	"glycerol_high"	"0.5278"
"YHR174W"	"2_437_1ebh.1.A_5b3b72eb732c1e38a0d6137f"	"NA"	"NA"	2	437	"glycerol_high"	"0.8856"
"YPL258C"	"2_551_3rm5.1.A_5b3e87b508cc8f8679cce94d"	"NA"	"NA"	2	551	"glycerol_high"	"0.6901"
"YIL074C"	"57_468_3ddn.1.A_5b3cef308fd6f9050dafcdc2"	"NA"	"NA"	57	468	"glycerol_high"	"0.4472"
"YIL074C"	"55_469_1psd.1.A_5b3cef308fd6f9050dafcdc6"	"NA"	"NA"	55	469	"glycerol_high"	"0.626"
"YIL074C"	"57_468_3ddn.1.B_5b3cef308fd6f9050dafcdbe"	"NA"	"NA"	57	468	"glycerol_high"	"0.5524"
"YMR056C"	"14_300_4c9g.1.A_5b3b1f498fd6f93135940cda"	"NA"	"NA"	14	300	"glycerol_high"	"0.0323"
"YIL078W"	"75_728_1nyq.1.B_5b42870a08cc8f37a67d3f45"	"NA"	"NA"	75	728	"glycerol_high"	"0.4962"
"YHR020W"	"187_688_4hvc.1.A_5b419d2f8fd6f99c966076c0"	"NA"	"NA"	187	688	"glycerol_high"	"0.6799"
"YGR088W"	"10_539_1a4e.1.A_5b3ed9c2a03a1bee2f08d128"	"NA"	"NA"	10	539	"glycerol_high"	"0.1518"
"YPL214C"	"2_536_3nl5.1.A_5b3e37c9732c1ea2c568b694"	"NA"	"NA"	2	536	"glycerol_high"	"0.963"
"YNR073C"	"12_500_1m2w.1.A_5b3d5ae008cc8fd45b5aa68c"	"NA"	"NA"	12	500	"glycerol_high"	"0.0241"
"YLR180W"	"3_382_2p02.1.A_5b3aae4c8fd6f9a819893617"	"NA"	"NA"	3	382	"glycerol_high"	"0.7368"
"YKR061W"	"84_415_5a07.1.A_5b3b47cb1a200b6dd2fa23a8"	"NA"	"NA"	84	415	"glycerol_high"	"0.8595"
"YER065C"	"13_532_5e9g.1.A_5b3eadcad60c5983a8462212"	"NA"	"NA"	13	532	"glycerol_high"	"0.4542"
"YER065C"	"25_311_1igw.1.A_5b3eadcad60c5983a846220e"	"NA"	"NA"	25	311	"glycerol_high"	"0.2553"
"YDR074W"	"2_544_5dxf.2.A_5b455f6c8fd6f9a0abd42c67"	"NA"	"NA"	2	544	"glycerol_high"	"0.681"
"YDR074W"	"80_543_5jio.1.A_5b455f6c8fd6f9a0abd42c63"	"NA"	"NA"	80	543	"glycerol_high"	"0.7198"
"YDR074W"	"554_850_5dxi.1.A_5b455f6c8fd6f9a0abd42c5f"	"NA"	"NA"	554	850	"glycerol_high"	"0.9479"
"YJR148W"	"4_372_5bwt.1.A_5b3a9aab732c1ea249384241"	"NA"	"NA"	4	372	"glycerol_high"	"0.7569"
"YDL238C"	"19_488_3e0l.1.A_5b3d34dc9ffd1278e3959621"	"NA"	"NA"	19	488	"glycerol_high"	"0.3962"
"YDR019C"	"15_398_1v5v.1.A_5b3ae820d60c59cc0449235e"	"NA"	"NA"	15	398	"glycerol_high"	"0.4298"
"YNL274C"	"4_339_6bii.1.A_5b3a5a3a08cc8fb796d2d2f4"	"NA"	"NA"	4	339	"glycerol_high"	"0.1408"
"YMR083W"	"30_375_5yat.1.A_5b3a96471a200b21ace212c3"	"NA"	"NA"	30	375	"glycerol_high"	"0.9073"
"YDR037W"	"68_579_6chd.1.A_5b3f8446732c1ef5bbc9b609"	"NA"	"NA"	68	579	"glycerol_high"	"0.0429"
"YLR060W"	"1_595_3l4g.1.B_5b3f99551a200b2803751a3a"	"NA"	"NA"	1	595	"glycerol_high"	"0.5337"
"YPR121W"	"24_572_3rm5.1.A_5b3f08381a200bbe91191251"	"NA"	"NA"	24	572	"glycerol_high"	"0.1341"
"YGR277C"	"144_292_3do8.1.A_5b3b3857a03a1b53303c022b"	"NA"	"NA"	144	292	"glycerol_high"	"0.1893"
"YEL046C"	"14_350_1lw4.1.D_5b3abde1a03a1b4f2e20e9a6"	"NA"	"NA"	14	350	"glycerol_high"	"0.0015"
"YER081W"	"57_468_3ddn.1.B_5b3cef29732c1e871b6768cf"	"NA"	"NA"	57	468	"glycerol_high"	"0.8922"
"YER081W"	"55_469_1psd.1.B_5b3cef29732c1e871b6768cb"	"NA"	"NA"	55	469	"glycerol_high"	"0.8036"
"YER081W"	"57_468_3ddn.1.A_5b3cef29732c1e871b6768c7"	"NA"	"NA"	57	468	"glycerol_high"	"0.4602"
"YLR354C"	"14_333_2e1d.1.A_5b3a9d5008cc8f0bbddfeb6f"	"NA"	"NA"	14	333	"glycerol_high"	"0.9725"
"YLR146C"	"10_300_2o06.1.A_5b3b4e4e9ffd1290bb8529ef"	"NA"	"NA"	10	300	"glycerol_high"	"0.3171"
"YMR303C"	"2_348_5yat.1.A_5b3a64a7a03a1b20641ccd73"	"NA"	"NA"	2	348	"glycerol_high"	"0.3762"
"YKL150W"	"43_302_2eix.1.A_5b3b4370732c1e9943339076"	"NA"	"NA"	43	302	"glycerol_high"	"0.088"
"YCL030C"	"367_791_5vlb.1.A_5b43a1f9a03a1b088313dd47"	"NA"	"NA"	367	791	"glycerol_high"	"0.0876"
"YML100W"	"342_801_5hvo.1.A_5b47a1f6a03a1bf84520fe47"	"NA"	"NA"	342	801	"glycerol_high"	"0.4231"
"YBR001C"	"59_780_5n6n.1.C_5b435913d60c598c795484b5"	"NA"	"NA"	59	780	"glycerol_high"	"0.4926"
"YGR234W"	"1_398_4g1b.3.A_5b3ae708a03a1be22449f089"	"NA"	"NA"	1	398	"glycerol_high"	"0.8494"
"YEL041W"	"79_429_3afo.1.B_5b3d452ba03a1bfea8b75d6e"	"NA"	"NA"	79	429	"glycerol_high"	"0.2015"
"YNL332W"	"4_338_4h6d.1.A_5b3a8acf9ffd12110c820501"	"NA"	"NA"	4	338	"glycerol_high"	"NA"
"YOR283W"	"15_218_3dcy.1.A_5b3dc5ef8fd6f92e287e2842"	"NA"	"NA"	15	218	"glycerol_high"	"0.7853"
"YML008C"	"66_279_5gm1.1.A_5b3ab0d6732c1e65b649ff7f"	"NA"	"NA"	66	279	"glycerol_high"	"NA"
"YML008C"	"64_279_2o57.1.A_5b3ab0d6732c1e65b649ff7b"	"NA"	"NA"	64	279	"glycerol_high"	"NA"
"YOR184W"	"10_395_6czx.1.A_5b3ad876d60c5940f3a92fd2"	"NA"	"NA"	10	395	"glycerol_high"	"0.1704"
"YHR043C"	"4_231_2qlt.1.A_5b3d59d11a200b47a2e90c24"	"NA"	"NA"	4	231	"glycerol_high"	"0.9398"
"YHR128W"	"5_216_1upf.1.D_5b3ea6bd1a200bb9f42a3844"	"NA"	"NA"	5	216	"glycerol_high"	"0.2052"
"YMR013C"	"23_47_5fgo.3.A_59ca67197f4bf93ca8ee1e75"	"NA"	"NA"	23	47	"glycerol_high"	"NA"
"YLR410W"	"190_508_3t99.1.A_5b4d95b99ffd12edfaa7eed7"	"NA"	"NA"	190	508	"glycerol_high"	"0.263"
"YJR049C"	"117_451_3afo.1.A_5b3de466732c1e2cb353aae2"	"NA"	"NA"	117	451	"glycerol_high"	"0.4917"
"YJL045W"	"39_634_4ytp.1.A_5b4083d78fd6f9192a219149"	"NA"	"NA"	39	634	"glycerol_high"	"0.9111"
"YDR400W"	"5_333_5tsq.1.A_5b3a88e3d60c598c409b68f1"	"NA"	"NA"	5	333	"glycerol_high"	"0.6304"
"YLR299W"	"104_660_4y23.1.A_5b410b6aa03a1b549fb5f106"	"NA"	"NA"	104	660	"glycerol_high"	"0.6793"
"YMR267W"	"34_310_1wgi.1.A_5b3b18b2732c1e31cff13046"	"NA"	"NA"	34	310	"glycerol_high"	"0.5449"
"YMR261C"	"308_768_5huv.1.A_5b4743df8fd6f9ddea29b9a3"	"NA"	"NA"	308	768	"glycerol_high"	"0.7606"
"YOL033W"	"45_532_6brl.1.A_5b3e1ec59ffd129c4792fcab"	"NA"	"NA"	45	532	"glycerol_high"	"0.4421"
"YDR127W"	"1074_1586_5swv.1.A_5b24718cafa3584c09607e58"	"NA"	"NA"	1074	1586	"glycerol_high"	"0.2632"
"YDR127W"	"2_400_6c5c.1.A_5b24718bafa3584c09607e48"	"NA"	"NA"	2	400	"glycerol_high"	"0.3131"
"YDR127W"	"422_863_3nvs.1.A_5b24718bafa3584c09607e50"	"NA"	"NA"	422	863	"glycerol_high"	"0.7293"
"YDR127W"	"414_870_3nvs.1.A_5b24718bafa3584c09607e54"	"NA"	"NA"	414	870	"glycerol_high"	"0.846"
"YNL315C"	"119_318_2p4f.1.A_5b3ae6e78fd6f970fedcc14e"	"NA"	"NA"	119	318	"glycerol_high"	"0.7633"
"YBR121C"	"37_681_4kqe.1.A_5b41a4841a200bff693f9f6b"	"NA"	"NA"	37	681	"glycerol_high"	"0.2879"
"YJR024C"	"12_228_4m6r.1.A_5b3d660f3b85d1fa34c4ca48"	"NA"	"NA"	12	228	"glycerol_high"	"0.8959"
"YBR244W"	"4_160_2p5r.1.A_5b41f9129ffd12a7a7060f58"	"NA"	"NA"	4	160	"glycerol_high"	"0.2407"
"YDR208W"	"378_757_3wzz.1.A_5b4351db08cc8fd7fc4a5cac"	"NA"	"NA"	378	757	"glycerol_high"	"0.9554"
"YMR322C"	"4_237_3mii.1.A_5b3d876d1a200bfd99489d4f"	"NA"	"NA"	4	237	"glycerol_high"	"NA"
"YCR024C"	"17_491_3m4p.1.A_5b3d3bf81a200b794623ab85"	"NA"	"NA"	17	491	"glycerol_high"	"0.4965"
"YJR103W"	"1_561_1vco.1.A_5b3f355b9ffd12e240626a90"	"NA"	"NA"	1	561	"glycerol_high"	"0.7379"
"YJR103W"	"1_271_3ihl.1.B_5b3f355b9ffd12e240626a8c"	"NA"	"NA"	1	271	"glycerol_high"	"0.3561"
"YHR019C"	"116_554_5xix.1.B_5b3e9a6b9ffd12fbe0b6e4f7"	"NA"	"NA"	116	554	"glycerol_high"	"0.2489"
"YLR345W"	"81_507_5htk.1.B_5b3d71761a200b52f5a561d0"	"NA"	"NA"	81	507	"glycerol_high"	"0.3348"
"YLR304C"	"26_778_1ami.1.A_5b434fed08cc8fbb2bcd7c31"	"NA"	"NA"	26	778	"glycerol_high"	"0.4974"
"YDL095W"	"330_509_3mal.1.A_5b43eb26d60c597a76fe5924"	"NA"	"NA"	330	509	"glycerol_high"	"0.3089"
"YKL211C"	"214_483_4fb7.1.A_5b3d21579ffd12b57aee120e"	"NA"	"NA"	214	483	"glycerol_high"	"0.8492"
"YKL211C"	"216_483_6bma.1.A_5b3d21579ffd12b57aee120a"	"NA"	"NA"	216	483	"glycerol_high"	"0.8478"
"YML056C"	"23_523_1jr1.1.A_5b3db966732c1ee82dde5aaa"	"NA"	"NA"	23	523	"glycerol_high"	"0.4717"
"YML056C"	"7_524_5tc3.1.A_5b3db966732c1ee82dde5aa4"	"NA"	"NA"	7	524	"glycerol_high"	"0.3997"
"YHL012W"	"23_481_2i5k.1.A_5b3d4084a03a1b136868352e"	"NA"	"NA"	23	481	"glycerol_high"	"0.0709"
"YHR104W"	"5_318_1sm9.1.A_5b3abcce8fd6f961c123c55e"	"NA"	"NA"	5	318	"glycerol_high"	"0.4039"
"YBR006W"	"11_490_4v6h.1.A_5b3d4d5308cc8f59a3e44f32"	"NA"	"NA"	11	490	"glycerol_high"	"0.9029"
"YMR101C"	"61_295_4h8e.1.A_5b3a7de7d60c594a166d804e"	"NA"	"NA"	61	295	"glycerol_high"	"0.2076"
"YDR368W"	"5_311_3uzw.1.A_5b3b05fe732c1e092115696b"	"NA"	"NA"	5	311	"glycerol_high"	"0.8389"
"YGL142C"	"24_49_4rz9.1.A_57afe1413e2025f0e52d9fdb"	"NA"	"NA"	24	49	"glycerol_high"	"NA"
"YER090W"	"3_497_5cwa.1.A_5b3d6924732c1e9617957f45"	"NA"	"NA"	3	497	"glycerol_high"	"0.7678"
"YER090W"	"32_491_5kck.1.A_5b3d6923732c1e9617957f41"	"NA"	"NA"	32	491	"glycerol_high"	"0.7439"
"YMR170C"	"16_506_4wj9.1.A_5b3d678f1a200bb9aea189f0"	"NA"	"NA"	16	506	"glycerol_high"	"0.11"
"YAL060W"	"1_376_4oh1.1.A_5b3aafe51a200b4321073653"	"NA"	"NA"	1	376	"glycerol_high"	"0.7831"
"YJL139C"	"88_415_5a07.1.A_5b3b500a732c1e1094ffa79f"	"NA"	"NA"	88	415	"glycerol_high"	"0.9583"
"YBR256C"	"1_212_1i8d.1.A_5b3d80a6a03a1bfe302f912e"	"NA"	"NA"	1	212	"glycerol_high"	"0.0367"
"YJR133W"	"5_209_2xbu.1.A_5b3effc89ffd1205d028682b"	"NA"	"NA"	5	209	"glycerol_high"	"0.9203"
"YBR117C"	"3_681_1gpu.1.A_5b4177d3732c1edd8341927f"	"NA"	"NA"	3	681	"glycerol_high"	"0.3621"
"YDR261C"	"53_490_1h4p.1.A_5b3ed15a3b85d12dba404110"	"NA"	"NA"	53	490	"glycerol_high"	"0.297"
"YBR026C"	"19_377_4was.2.A_5b3aa8101a200bc5353ea07e"	"NA"	"NA"	19	377	"glycerol_high"	"0.9987"
"YOR356W"	"58_629_2gmh.1.A_5b4070eaa03a1b3ddf289f27"	"NA"	"NA"	58	629	"glycerol_high"	"0.6942"
"YHR018C"	"18_459_1hy0.1.A_5b3cac919ffd124714f46667"	"NA"	"NA"	18	459	"glycerol_high"	"0.3228"
"YER052C"	"14_502_3c1n.2.B_5b3dc79f732c1ecf099ca4f6"	"NA"	"NA"	14	502	"glycerol_high"	"0.4372"
"YLL062C"	"4_319_5dmm.1.A_5b3acac3732c1e109cdb69d7"	"NA"	"NA"	4	319	"glycerol_high"	"0.045"
"YMR271C"	"8_227_3n2l.1.A_5b3df0a8d60c59eb8c26888c"	"NA"	"NA"	8	227	"glycerol_high"	"0.967"
"YMR271C"	"8_227_2ps1.1.A_5b3df0a8d60c59eb8c268888"	"NA"	"NA"	8	227	"glycerol_high"	"0.9758"
"YPR033C"	"52_530_4phc.1.B_5b3e643f8fd6f9647e038718"	"NA"	"NA"	52	530	"glycerol_high"	"0.3154"
"YKR009C"	"5_610_2et6.1.A_5b458ca69ffd12d6062e697c"	"NA"	"NA"	5	610	"glycerol_high"	"0.1464"
"YKR009C"	"318_894_3oml.1.A_5b458ca69ffd12d6062e6984"	"NA"	"NA"	318	894	"glycerol_high"	"0.9992"
"YKR009C"	"7_261_2uvd.1.A_5b458ca69ffd12d6062e6980"	"NA"	"NA"	7	261	"glycerol_high"	"0.0014"
"YKR009C"	"10_261_4rzh.1.A_5b458ca69ffd12d6062e6978"	"NA"	"NA"	10	261	"glycerol_high"	"0.0011"
"YER174C"	"143_244_2yan.1.A_5b3d6681732c1e179216d24e"	"NA"	"NA"	143	244	"glycerol_high"	"0.9478"
"YDL168W"	"10_381_3qj5.1.A_5b3abcb1732c1e1909f5c097"	"NA"	"NA"	10	381	"glycerol_high"	"0.0229"
"YOR388C"	"5_374_5dn9.1.A_5b3a9ad0d60c593eaa1e955f"	"NA"	"NA"	5	374	"glycerol_high"	"NA"
"YGR007W"	"6_307_3elb.1.A_5b3acd83a03a1b9621b17148"	"NA"	"NA"	6	307	"glycerol_high"	"0.8184"
"YGR019W"	"12_471_4y0d.1.A_5b3cf4b81a200bc737f367f3"	"NA"	"NA"	12	471	"glycerol_high"	"0.032"
"YDR481C"	"65_526_3e2d.1.A_5b3ee8108fd6f902db688527"	"NA"	"NA"	65	526	"glycerol_high"	"0.1999"
"YLR450W"	"611_1015_1dq9.1.C_5b472a57a03a1b41bb1d4524"	"NA"	"NA"	611	1015	"glycerol_high"	"0.6293"
"YDR452W"	"95_376_5ebb.1.A_5902872fb4c268730c83974d"	"NA"	"NA"	95	376	"glycerol_high"	"0.8064"
"YPR183W"	"3_234_5mlz.1.A_5b4779e4c4494f5751dda800"	"NA"	"NA"	3	234	"glycerol_high"	"0.3642"
"YJR009C"	"1_332_3pym.1.A_5b3aaa233b85d18ef91c0d4f"	"NA"	"NA"	1	332	"glycerol_high"	"NA"
"YLR143W"	"1_259_3rk1.1.A_5b418dc48fd6f9c23dd88e6e"	"NA"	"NA"	1	259	"glycerol_high"	"0.1302"
"YFR015C"	"2_639_5uw0.1.B_5b42044cd60c59ab7598bf06"	"NA"	"NA"	2	639	"glycerol_high"	"0.6111"
"YDL171C"	"54_1547_1ofd.1.A_5b24f59dafa3589b98d8d209"	"NA"	"NA"	54	1547	"glycerol_high"	"0.2224"
"YBR208C"	"633_1831_3va7.1.A_5aca2192c730d4a15e271272"	"NA"	"NA"	633	1831	"glycerol_high"	"0.6067"
"YBR208C"	"633_1070_1dv1.1.A_5aca2192c730d4a15e27126e"	"NA"	"NA"	633	1070	"glycerol_high"	"0.8906"
"YAL062W"	"1_455_5xvx.1.A_5b3c9719a03a1b7c55367cee"	"NA"	"NA"	1	455	"glycerol_high"	"0.6854"
"YOR375C"	"3_452_5xvx.1.A_5b3bbb61a03a1b701050fb7b"	"NA"	"NA"	3	452	"glycerol_high"	"NA"
"YDR158W"	"5_365_3hsk.1.B_5b3a71759ffd12fb8b4a2ed7"	"NA"	"NA"	5	365	"glycerol_high"	"0.6169"
"YOL157C"	"4_589_3axh.1.A_5b3f783c8fd6f958ea972196"	"NA"	"NA"	4	589	"glycerol_high"	"0.6855"
"YHL032C"	"123_642_2w41.1.A_5b420ae61a200b7853d9f2e9"	"NA"	"NA"	123	642	"glycerol_high"	"0.0097"
"YPR081C"	"8_618_4kqe.1.A_5b4020b71a200b2db8c1d10f"	"NA"	"NA"	8	618	"glycerol_high"	"0.6428"
"YER043C"	"8_449_1b3r.1.A_5b3bab9d08cc8ffa6d58c7b3"	"NA"	"NA"	8	449	"glycerol_high"	"0.983"
"YDR047W"	"3_358_3gw3.1.A_5b3a617008cc8faa6d2e4109"	"NA"	"NA"	3	358	"glycerol_high"	"0.5253"
"YMR250W"	"45_524_1xey.1.A_5b3f6237732c1e3cf3607a3d"	"NA"	"NA"	45	524	"glycerol_high"	"0.2373"
"YDR196C"	"1_203_4zo4.1.A_5b3d70999ffd1248a4c9d97a"	"NA"	"NA"	1	203	"glycerol_high"	"0.4913"
"YFL053W"	"1_589_1un8.1.A_5b3f83648fd6f92ea09e3a0a"	"NA"	"NA"	1	589	"glycerol_high"	"0.4529"
"YLR303W"	"3_437_5ijg.1.B_5b3b99b0d60c590bb80da465"	"NA"	"NA"	3	437	"glycerol_high"	"0.2062"
"YLR303W"	"3_436_4oc9.1.A_5b3b99b0d60c590bb80da461"	"NA"	"NA"	3	436	"glycerol_high"	"0.3122"
"YIL066C"	"15_791_1zyz.3.C_5b44a197732c1e1712c4004a"	"NA"	"NA"	15	791	"glycerol_high"	"0.334"
"YIL066C"	"14_746_3hnd.1.B_5b44a197732c1e1712c40046"	"NA"	"NA"	14	746	"glycerol_high"	"0.1291"
"YJR149W"	"24_400_4qiu.1.A_5b3afb188fd6f94f0e705990"	"NA"	"NA"	24	400	"glycerol_high"	"0.8371"
"YJR149W"	"25_380_6bka.1.A_5b3afb188fd6f94f0e70598c"	"NA"	"NA"	25	380	"glycerol_high"	"0.5887"
"YCR005C"	"23_452_1al6.1.A_5b3ca347a03a1bb850460855"	"NA"	"NA"	23	452	"glycerol_high"	"0.8223"
"YCR105W"	"1_359_1q1n.1.A_5b3a60039ffd12036d8cb363"	"NA"	"NA"	1	359	"glycerol_high"	"0.7264"
"YJR117W"	"11_446_4il3.2.A_5b3bb73bd60c59821100614a"	"NA"	"NA"	11	446	"glycerol_high"	"0.7233"
"YAR071W"	"12_465_2gfi.1.A_5b3cdd7f3b85d1ed2231267f"	"NA"	"NA"	12	465	"glycerol_high"	"NA"
"YGR204W"	"321_946_5a4j.1.A_5b4617eb08cc8f3872472029"	"NA"	"NA"	321	946	"glycerol_high"	"0.033"
"YGR204W"	"2_300_4a5o.1.A_5b4617eb08cc8f3872472025"	"NA"	"NA"	2	300	"glycerol_high"	"0.9162"
"YNL117W"	"8_541_3cux.1.A_5b3e9a39a03a1bc27a5420a2"	"NA"	"NA"	8	541	"glycerol_high"	"0.9993"
"YNL117W"	"15_534_3cuz.1.A_5b3e9a39a03a1bc27a54209e"	"NA"	"NA"	15	534	"glycerol_high"	"0.9984"
